customer_id,first_name,last_name,email,phone,date_of_birth,gender,country,city,registration_date,is_active,customer_segment
45,Bradley,Gonzales,user45_karenparsons@gmail.com,643.695.9953x42836,1954-01-17,Other,AU,Lake Erika,2025-03-06T17:30:00.814577,True,At Risk
46,Brandon,Cooper,user46_ufloyd@hotmail.com,(862)846-2873x34270,1982-11-01,F,UK,South John,2024-02-14T11:20:54.612632,True,At Risk
47,Deborah,Nielsen,user47_christopher30@yahoo.com,(299)501-3983x7354,2004-11-12,M,UK,Lake Yvonnefort,2026-04-03T15:27:08.903057,True,Occasional
48,Heather,Padilla,user48_jherman@yahoo.com,001-746-578-5445x877,1972-01-05,Other,CA,Williamsbury,2025-09-25T21:03:28.398442,True,Occasional
49,Allen,Tran,user49_mphillips@yahoo.com,969.937.8547,1960-04-08,M,IN,Garyside,2024-12-22T17:31:54.403944,True,Occasional
50,Sabrina,Weaver,user50_warrenmary@gmail.com,+1-900-962-3120x3875,1951-06-04,M,DE,Smithhaven,2025-09-04T23:50:27.840830,True,Premium
51,Amanda,Mitchell,user51_ldrake@gmail.com,682-833-9845,1955-02-04,Other,FR,Stevensbury,2026-06-25T16:34:03.659822,True,Occasional
52,Jeremiah,Sutton,user52_valdezmichele@gmail.com,366-968-7002,1999-07-17,M,DE,Arielville,2026-03-13T02:42:32.482649,True,Regular
53,Samantha,Hall,user53_enelson@hotmail.com,689-402-5039x261,1983-03-22,Other,UK,Rhodesside,2024-07-04T03:44:09.013015,True,Regular
54,Karla,Taylor,user54_masonterri@gmail.com,763-215-9996,1987-04-16,Other,US,Henrystad,2025-03-03T15:31:39.270646,True,Premium
55,Nicholas,Lopez,user55_nmiller@yahoo.com,711.342.6265,1955-10-26,F,IN,Seanview,2023-10-26T16:33:19.104350,True,New
56,Christopher,Jordan,user56_fgarcia@yahoo.com,+1-819-395-6046,1992-07-20,F,FR,New Adriana,2025-07-26T14:05:02.369957,False,Occasional
57,Gavin,Adams,user57_trevor12@yahoo.com,964-371-5437x993,1958-05-15,F,FR,South Martinfurt,2025-12-03T17:09:33.656822,True,Regular
58,Mark,Cook,user58_kevinmorrison@hotmail.com,575.726.5479,1972-04-27,M,IN,Diazshire,2024-02-10T14:20:36.181840,True,Occasional
59,Wendy,White,user59_bentonsteven@hotmail.com,674.416.7243,1991-12-30,Other,DE,Jonesfort,2025-04-04T15:34:23.471325,True,Regular
60,Amanda,Mclean,user60_ystephens@yahoo.com,001-789-811-3529x096,1956-08-27,F,IN,West Jeffreyhaven,2025-03-09T01:50:55.308219,True,Occasional
61,Gwendolyn,Walker,user61_peter98@gmail.com,(907)514-6112x545,1980-09-25,Other,IN,Thomasmouth,2025-09-04T18:36:49.465394,True,Premium
62,Shaun,Jones,user62_patrickdarin@yahoo.com,+1-812-438-2825x8673,1961-04-27,F,US,Fosterborough,2024-11-10T06:44:28.863886,False,Regular
63,Russell,Smith,user63_jamiegoodwin@gmail.com,001-618-925-5371,1981-02-12,Other,FR,Candicefurt,2025-04-09T20:45:59.204587,True,At Risk
64,Michael,Bruce,user64_lisamccarthy@yahoo.com,+1-891-825-1341x252,1985-02-07,Other,CA,Hendersonfort,2025-06-02T00:06:10.507934,False,At Risk
65,Heather,Brewer,user65_angelaburns@gmail.com,(557)890-5072,2006-05-31,M,CA,Ortizfort,2024-10-04T02:05:30.820705,True,At Risk
66,Mary,Burns,user66_cunninghamlaura@gmail.com,304-638-4279x7881,1995-06-20,F,FR,Amberton,2025-10-16T10:10:39.552186,True,Occasional
67,Scott,Robinson,user67_pgarcia@gmail.com,807-445-1713x3959,1986-04-01,Other,AU,Port Jamie,2023-09-09T17:05:50.895596,True,Occasional
68,Michael,Campbell,user68_mariopadilla@yahoo.com,001-448-512-6042,1958-12-29,M,FR,Mariafurt,2024-12-23T23:34:26.022325,True,Premium
69,Barbara,Adams,user69_ebrooks@hotmail.com,001-316-884-5775x901,1963-02-22,Other,DE,Summersfort,2024-04-25T21:55:58.226678,True,New
70,Maria,Morgan,user70_ashleewashington@yahoo.com,+1-600-417-0127x7063,2001-03-24,M,FR,Clarencestad,2024-04-06T00:42:06.057857,False,At Risk
71,Nathan,Mckee,user71_brettgarrett@hotmail.com,001-936-211-0371x293,1950-12-23,Other,CA,Lisachester,2025-08-05T03:15:53.592818,True,Premium
72,Tim,Perez,user72_crosscurtis@yahoo.com,(942)762-2189x092,1992-05-30,M,US,South Christina,2024-11-02T09:38:02.392611,True,Occasional
73,Jeff,Mosley,user73_karenlawrence@yahoo.com,(665)223-4138x999,1999-09-09,F,US,Jamiehaven,2024-01-29T09:02:10.277265,False,New
74,Peter,Lucas,user74_troyrodriguez@yahoo.com,+1-491-980-5526x9658,2005-11-14,M,AU,North Brendatown,2024-04-18T22:54:14.992354,True,New
75,Bill,Brown,user75_ohunter@hotmail.com,566.461.8892x41418,1981-08-15,F,DE,Willisland,2024-06-10T12:45:27.844993,True,Regular
76,Samuel,Ashley,user76_brianmiller@yahoo.com,479-290-4210,1960-01-05,F,FR,Alexandraview,2024-01-05T14:49:03.583910,False,At Risk
77,David,Norman,user77_jessica10@yahoo.com,(448)714-9177x85079,1959-08-20,Other,AU,New Emilyville,2024-03-12T22:33:36.543773,True,Occasional
78,William,Williams,user78_sanchezthomas@yahoo.com,(720)686-3536,1998-06-02,M,FR,Davidton,2024-01-19T04:24:52.183243,True,At Risk
79,Linda,Jarvis,user79_djones@yahoo.com,001-945-718-7053x494,1984-10-29,F,UK,Cuevasborough,2025-09-16T05:55:48.493680,True,Premium
80,Amy,Flynn,user80_adamortiz@gmail.com,+1-550-850-6413,1979-01-18,Other,CA,East Jenniferland,2023-08-23T18:36:20.651357,True,Occasional
81,Jesse,Bruce,user81_xhaynes@yahoo.com,001-519-618-2619x906,1965-08-25,M,AU,Sarafurt,2025-08-12T11:18:52.857850,True,Premium
82,Jill,Stewart,user82_jesus32@hotmail.com,721-527-7561,1976-09-20,F,US,Bakerville,2023-10-13T17:58:14.853845,True,New
83,Lindsey,Torres,user83_lewismelissa@gmail.com,235-868-0442,2000-01-29,M,US,North Steven,2025-12-03T12:26:00.625249,True,Regular
84,Donald,Smith,user84_davidcolon@yahoo.com,+1-219-994-1013x7215,1953-06-12,M,IN,Underwoodfurt,2024-12-31T06:54:54.882865,True,Premium
85,Patrick,Simmons,user85_jason24@yahoo.com,220.399.9347x687,1966-09-27,Other,UK,South James,2026-03-02T00:05:20.639590,True,Regular
86,Alicia,Mccoy,user86_mayokimberly@yahoo.com,587.259.8564x2059,2002-06-19,F,IN,Brianfort,2025-02-05T18:46:09.436347,False,New
87,Katie,Key,user87_craigsandoval@yahoo.com,+1-703-796-5223,2003-07-10,M,CA,Lake Jackieshire,2025-03-15T05:27:25.517525,True,Regular
88,Anna,Lopez,user88_lweaver@yahoo.com,2107393087,2003-10-01,M,DE,Port David,2025-08-30T05:38:47.793609,True,Regular
89,Samantha,Richard,user89_brian29@hotmail.com,(718)651-5691,1969-03-22,M,FR,Lake Stacy,2025-11-20T07:26:25.034431,True,Regular
90,Susan,Banks,user90_jasminehoffman@hotmail.com,(239)426-4422x096,1985-06-13,M,CA,Lake Ariana,2026-04-28T00:28:28.045575,True,Regular
91,Donald,Mcgee,user91_michaelflores@hotmail.com,657-304-3315,1992-04-17,Other,CA,South Samuelchester,2026-06-02T12:52:29.209825,False,Occasional
92,Nicole,Snyder,user92_ybell@gmail.com,793.427.1040x5411,2002-01-04,M,UK,Lake Charles,2026-05-03T15:48:33.759933,True,New
93,Tiffany,Morgan,user93_bbush@hotmail.com,(896)620-1533,1988-10-28,M,FR,Johnton,2024-09-09T04:24:06.807113,False,At Risk
94,Andrea,Henry,user94_wardronald@yahoo.com,+1-997-931-0324x1714,2002-05-31,F,DE,Christopherside,2024-09-03T07:03:05.522344,True,At Risk
95,Nathan,James,user95_seanbaker@yahoo.com,534-290-2115x869,1999-04-12,Other,UK,Sheppardfort,2025-03-25T04:58:02.655772,True,Premium
96,Joe,Evans,user96_torr@gmail.com,898.399.2172x23320,2007-10-31,Other,IN,Harrisberg,2026-01-05T14:54:35.043059,True,New
97,Jonathan,Bartlett,user97_millerangela@hotmail.com,348-370-9986x16229,1983-02-23,F,AU,Port Justinside,2026-02-25T01:18:40.990548,True,Premium
98,Natalie,Baker,user98_earmstrong@gmail.com,(746)529-9606,1953-05-15,M,AU,Mccallstad,2023-07-28T20:13:06.557593,True,At Risk
99,Lisa,Turner,user99_megan13@gmail.com,775-246-9137x3678,1980-05-24,Other,US,North Larry,2025-01-11T23:28:39.712345,True,At Risk
100,Derek,York,user100_thompsonnancy@gmail.com,9308705345,1987-05-14,M,US,Lake Anthonystad,2024-12-23T05:54:08.927869,True,Regular
101,Sean,Horne,user101_wmatthews@yahoo.com,(541)540-6029,1988-01-22,M,UK,West Denise,2025-01-19T02:02:26.365504,True,New
102,Michelle,Coffey,user102_wellsdavid@gmail.com,+1-503-949-4466x574,1968-01-13,Other,FR,Silvatown,2025-01-17T03:33:35.336754,True,New
103,Eileen,Bridges,user103_anna99@yahoo.com,517-215-4544x4328,1997-03-24,Other,CA,Guerreroberg,2025-09-03T23:55:23.066006,True,New
104,Diana,Bright,user104_rebecca66@hotmail.com,6994353875,1999-04-08,F,US,West Connor,2023-11-23T20:43:46.640758,True,Premium
105,Jonathan,Stokes,user105_staceylam@hotmail.com,635-934-6554,1999-11-18,Other,FR,Brownshire,2025-04-02T12:47:43.862966,True,New
106,Christine,Kennedy,user106_vincentdillon@yahoo.com,346.902.2356x97252,1969-10-20,Other,IN,West Cynthia,2023-07-11T20:06:03.877408,True,At Risk
107,Joshua,Juarez,user107_barbaramoore@gmail.com,(296)566-6760,1992-11-21,M,AU,West Katherinehaven,2024-01-31T11:47:41.335411,True,At Risk
108,Erica,Sims,user108_jeremywiley@yahoo.com,(616)689-4210,1976-12-14,F,AU,Ryanberg,2024-07-16T05:05:04.616973,True,Occasional
109,Rachel,Howard,user109_frederickmeadows@yahoo.com,3337230982,1991-10-03,F,CA,South Nancyview,2025-10-28T17:54:15.773682,True,Occasional
110,Cindy,Wheeler,user110_stanleydesiree@gmail.com,4165761847,1990-10-31,M,FR,West Robertville,2025-07-01T13:38:16.428181,True,Premium
111,Joseph,Obrien,user111_robertroach@hotmail.com,001-791-841-1739x348,1967-08-23,M,IN,New Tylerborough,2025-07-29T18:01:42.530340,False,At Risk
112,Timothy,Young,user112_powersrebecca@hotmail.com,+1-372-418-1143x7447,2001-03-18,M,FR,Michaelmouth,2024-10-15T10:39:25.234809,True,Regular
113,Darrell,York,user113_smithdevon@hotmail.com,(455)379-4155,1973-10-03,Other,US,Nelsonfurt,2025-07-31T14:41:41.262560,True,New
114,Timothy,Fisher,user114_danielhorton@gmail.com,(816)797-9729,1985-12-20,Other,CA,South Samantha,2023-11-07T10:05:43.887062,True,At Risk
115,Robert,Williams,user115_diana08@hotmail.com,001-593-958-8916,1970-07-25,F,IN,Hernandezside,2026-03-10T02:56:06.359076,True,At Risk
116,Chloe,Smith,user116_williamharrison@yahoo.com,(517)853-5408,1973-11-25,Other,US,North Stephen,2025-11-30T15:07:40.695759,True,New
117,Shane,Gates,user117_fstewart@hotmail.com,+1-501-966-0880x1994,2005-08-19,F,CA,Marciabury,2026-01-16T19:23:12.966316,False,New
118,Martin,Saunders,user118_xmoran@hotmail.com,211.430.5548x851,1979-01-26,M,UK,Rodriguezborough,2024-01-28T04:01:37.484750,True,Regular
119,Sarah,Long,user119_msummers@hotmail.com,216-809-1779x82708,1999-03-01,M,CA,Glassburgh,2025-08-02T17:03:41.243139,True,Occasional
120,Glenn,Ochoa,user120_hughescaroline@yahoo.com,666.793.4654x72269,1991-10-20,M,IN,East Jason,2025-08-27T10:30:25.716993,True,Regular
121,Glenda,Morse,user121_tinasantos@gmail.com,385.215.8799x68460,1972-08-07,F,IN,Lake Brianview,2025-10-05T15:57:42.744877,True,New
122,Eugene,Mitchell,user122_dwayne04@gmail.com,001-280-857-1983x863,1972-12-27,Other,FR,Tammyton,2023-07-20T21:05:56.969513,True,Premium
123,John,Oliver,user123_ogreer@hotmail.com,001-459-389-3347x212,1972-05-21,Other,FR,Ramirezview,2023-11-26T04:32:33.655869,True,Occasional
124,Brandy,Scott,user124_steven20@gmail.com,390-494-7985x15832,1974-08-20,M,UK,Davisbury,2026-02-28T15:03:56.011267,True,Occasional
125,Elizabeth,Rivera,user125_jeffery98@yahoo.com,+1-201-757-3993,1972-08-18,F,CA,South Jonathanport,2023-08-02T17:50:31.088854,False,Regular
126,Zachary,Townsend,user126_stucker@hotmail.com,358.511.2880,1989-05-23,Other,FR,Port Gina,2026-01-07T07:51:12.588586,True,Regular
127,Jamie,Poole,user127_elucas@hotmail.com,+1-520-675-0110x2481,1974-02-25,Other,FR,Mccoychester,2024-06-17T08:42:52.789043,True,Premium
128,Perry,Wilson,user128_maychristine@hotmail.com,001-301-658-1449,1994-11-24,Other,DE,Jamestown,2024-12-07T00:43:39.566600,True,At Risk
129,Amanda,Taylor,user129_irobles@yahoo.com,+1-824-350-8821x0099,1968-03-07,F,CA,Jasonhaven,2023-12-09T18:19:43.020497,True,Occasional
130,Jack,Jensen,user130_james29@gmail.com,001-487-581-4141x397,1956-04-24,Other,CA,East Louismouth,2024-06-30T10:45:07.820267,True,New
131,Donna,Steele,user131_arianadiaz@yahoo.com,(720)653-3645x25777,1978-10-03,Other,US,East Debbieland,2026-01-14T01:00:03.454036,True,Regular
132,Michele,Taylor,user132_josemercado@gmail.com,001-910-480-9969x308,1971-09-23,M,IN,Port Brittany,2026-01-30T21:13:13.332225,True,Premium
133,Dennis,Mason,user133_sanderswayne@hotmail.com,492.982.7229,2004-12-25,F,AU,East Kathleenbury,2023-09-13T13:13:31.454465,True,At Risk
134,Mike,Williams,user134_aprilmoody@yahoo.com,870.805.1844x9892,1971-09-12,Other,AU,New Johnbury,2025-01-22T11:18:49.040828,True,Regular
135,Michael,Parrish,user135_msparks@gmail.com,327.523.1843x22259,1974-07-23,Other,US,Jenniferfort,2025-07-15T12:50:05.723247,True,Premium
136,Timothy,Garza,user136_cjohnson@gmail.com,001-492-628-0920,2004-01-06,F,FR,Greeneshire,2025-06-04T07:52:52.014367,True,At Risk
137,Natalie,Luna,user137_stacey37@hotmail.com,772.936.9292x9842,1985-02-09,Other,FR,East Nicholasberg,2023-11-02T15:14:44.751433,True,Regular
138,James,Heath,user138_mserrano@gmail.com,(979)490-8811,2002-10-29,F,DE,Port Erikachester,2025-01-28T16:29:00.484605,False,Regular
139,Mitchell,Williams,user139_zperez@yahoo.com,001-865-699-1624x731,1961-06-22,F,UK,New Alexandrahaven,2023-07-14T13:19:58.010216,True,Occasional
140,Diamond,Watts,user140_robert12@yahoo.com,+1-994-448-6959x4636,1971-12-25,F,CA,Kingport,2025-03-30T14:47:36.155427,False,At Risk
141,Kim,Sanders,user141_melissahopkins@hotmail.com,272.413.8658,1973-01-29,Other,AU,Port Christopherberg,2024-12-04T11:44:37.857525,True,At Risk
142,Caroline,Davis,user142_jeffrey19@gmail.com,001-666-598-4902x770,1952-06-17,Other,FR,New Gavin,2023-08-15T04:27:28.811823,True,New
143,John,Smith,user143_christopherhill@yahoo.com,(766)793-8011x848,2006-05-20,Other,IN,Jeremyborough,2024-11-15T23:03:58.654060,True,At Risk
144,Richard,Smith,user144_richardrodriguez@gmail.com,745.918.4894x76973,1990-01-16,Other,US,South Darrenland,2024-08-28T23:24:28.826812,True,At Risk
145,Kristina,Robinson,user145_laurengutierrez@yahoo.com,780.543.4165x18275,2002-05-20,M,IN,Ianborough,2025-01-03T10:27:57.404132,True,At Risk
146,James,Moss,user146_jamie33@hotmail.com,(721)911-7908x075,2002-08-08,Other,AU,Travishaven,2024-05-08T18:23:38.696213,True,At Risk
147,Jeffrey,Ray,user147_foxrodney@hotmail.com,7852627187,1951-03-13,F,US,South Bianca,2024-06-27T06:13:49.210551,True,Occasional
148,Chloe,Green,user148_joel79@yahoo.com,(427)563-6556x472,1997-09-25,M,IN,Lindaside,2024-10-22T06:19:09.194733,True,At Risk
149,Oscar,Thomas,user149_thomassmith@yahoo.com,428.285.7448x9061,1963-01-03,Other,CA,Thomasville,2024-11-10T14:05:58.299282,False,Premium
150,Matthew,Ward,user150_maurice61@yahoo.com,+1-893-699-8245x5877,1977-05-29,M,AU,Port Gary,2025-12-07T16:53:57.560553,True,New
151,Matthew,Welch,user151_esweeney@gmail.com,(653)955-4496,1995-10-22,M,AU,Juliehaven,2026-05-29T14:50:28.425159,True,Occasional
152,Robert,White,user152_martinezjimmy@yahoo.com,001-313-326-1117x800,1965-09-25,M,CA,North Diana,2026-03-02T21:37:16.639271,True,Premium
153,Kyle,Wright,user153_scott22@hotmail.com,(900)455-7784,2006-09-29,Other,FR,New Carla,2025-05-28T02:58:18.363462,False,New
154,Cynthia,Elliott,user154_regina78@gmail.com,274-456-4240,1970-06-16,M,IN,Nicholsfort,2026-05-09T06:32:23.798267,True,Regular
155,Thomas,Smith,user155_myates@gmail.com,4858368663,1998-07-24,M,US,West Christian,2025-05-21T20:25:58.307429,False,Regular
156,Zachary,Marsh,user156_justin84@yahoo.com,612.924.1797,1961-05-27,M,DE,East Brandonside,2023-07-30T22:07:50.216588,True,Premium
157,Teresa,Campbell,user157_jenniferacosta@gmail.com,720-973-5647,1990-12-07,M,IN,West Christopherberg,2023-09-06T01:48:14.358202,True,At Risk
158,Kimberly,Jones,user158_qwhite@yahoo.com,3135673037,1977-12-07,Other,IN,Sharonburgh,2025-05-26T01:26:49.054863,True,New
159,Bobby,Pineda,user159_kingdanielle@gmail.com,(803)513-6502x491,1951-01-11,Other,FR,New Kristenfort,2025-07-29T23:21:24.925153,True,Occasional
160,Eric,Townsend,user160_ericdavis@hotmail.com,500-252-8127x35857,1990-06-27,Other,CA,Jenniferview,2026-03-17T08:31:39.403176,True,Premium
161,Todd,Kim,user161_amy73@hotmail.com,(385)457-4982,1976-07-29,F,AU,Ambermouth,2023-07-07T11:04:42.291859,True,Occasional
162,Dana,Gray,user162_nicoleharvey@yahoo.com,001-793-851-8638x782,1987-09-07,Other,US,North Alexandraland,2023-08-23T15:22:16.007644,True,Premium
163,Sharon,White,user163_harristodd@gmail.com,7965789940,1985-08-28,F,AU,North Sarahborough,2025-06-24T04:33:45.141793,True,Premium
164,Sarah,Collier,user164_dowen@yahoo.com,+1-665-309-4801,2005-04-19,F,IN,North Jessicaside,2024-08-31T21:18:07.151356,True,Premium
165,James,Sandoval,user165_angelagrant@hotmail.com,895-776-1228,1988-08-24,Other,DE,Mahoneymouth,2025-02-28T09:46:58.096585,True,At Risk
166,Wendy,Kirk,user166_bduran@hotmail.com,293-698-3684x57760,1985-01-24,Other,DE,West Adam,2026-06-19T07:01:41.935117,True,Premium
167,Jason,Edwards,user167_samantha88@hotmail.com,001-721-507-5224,1964-01-09,F,IN,Christopherfurt,2025-03-21T04:59:57.799838,True,Regular
168,Jeff,Jones,user168_laura27@hotmail.com,001-891-894-0961x055,2004-06-19,F,DE,Port Kayleetown,2025-05-31T05:38:41.859304,True,Regular
169,Crystal,Brown,user169_floresannette@yahoo.com,432.406.7998x13646,1970-01-03,M,AU,Duncanton,2025-02-26T07:03:25.309567,False,Occasional
170,Jose,Ross,user170_iayala@gmail.com,683.876.9389x8331,1969-04-08,Other,US,North Emilychester,2024-08-09T21:41:17.958506,True,Regular
171,James,Cooper,user171_carrillogary@yahoo.com,+1-279-527-0335x211,2005-07-20,M,UK,Port Marissa,2024-05-16T21:28:45.945035,True,At Risk
172,Matthew,Brock,user172_shannon05@gmail.com,001-283-638-8487x920,1960-05-22,Other,DE,Jamesview,2023-09-02T20:08:44.346907,True,Occasional
173,Diana,Smith,user173_qguerrero@hotmail.com,(310)446-3681x579,1962-01-17,F,CA,Castrotown,2023-08-19T05:31:41.899483,True,Occasional
174,Sandra,Torres,user174_klong@gmail.com,(655)543-8404x608,1959-04-23,Other,DE,Sandovalland,2025-09-13T10:14:58.507104,False,Occasional
175,Abigail,Gregory,user175_robertberry@yahoo.com,495-878-2329x8324,2008-04-05,M,CA,Lake Sarah,2026-04-06T13:41:16.196746,False,At Risk
176,Lonnie,Grant,user176_whitemary@gmail.com,001-205-666-4742x312,1985-08-20,F,CA,New Jesse,2025-07-28T20:18:22.121763,True,New
177,Michael,Watts,user177_manderson@yahoo.com,001-252-667-7223x306,2005-08-15,M,CA,Lake Emily,2024-02-13T22:07:00.676882,False,Regular
178,James,Thompson,user178_fcamacho@hotmail.com,273-366-0965x69998,1976-09-14,F,CA,East Aprilfurt,2026-06-18T16:12:08.646704,True,At Risk
179,Benjamin,Hughes,user179_leescott@yahoo.com,001-347-426-4908x277,1995-09-05,M,DE,South Robert,2024-11-11T17:12:46.609479,True,Premium
180,Harold,Garza,user180_nicoledavis@yahoo.com,001-421-811-7518x689,1982-06-07,F,DE,Port Georgemouth,2025-03-17T07:01:47.430690,True,Occasional
